Dataset Name,Source,Link,License,Category,Data Size,text1,text2,text3,text4,text5
aio,Huggingface,https://huggingface.co/datasets/llm-book/aio,CC-by-sa-3.0,QA,23335,original_question,original_answer,,,
alt_jp,Huggingface,https://huggingface.co/datasets/alt,CC-by-sa-4.0,NER,19082,text,value,,,
aozorabunko,Kaggle,https://www.kaggle.com/datasets/ryancahildebrandt/azbcorpus,CC-by-4.0,Classification,3907,title,text,class,all_class,
conceptnet5,Huggingface,https://huggingface.co/datasets/conceptnet5,CC-by-sa-4.0,NLI,342176,rel,arg1,arg2,all_rels,
copa,Github,https://github.com/nlp-titech/copa-japanese,BSD-2 Clause,NLI,1000,premise,answer1,answer2,label,
gem_surface,Huggingface,https://huggingface.co/datasets/GEM/surface_realisation_st_2020,CC-by-2.5,Generation,10745,input,target,,,
jasquad,Huggingface,https://huggingface.co/datasets/SkelterLabsInc/JaQuAD,CC-by-sa-3.0,QA,35687,question,context,answers,,
jawikinews,Github,https://github.com/marumalo/jawikinews-headline-dataset,CC-by-2.5,Summarization,3651,article,headline,,,
journal_latex,Other,https://www.anlp.jp/resource/journal_latex/index.html,?,Generation,85,abstract,title,keywords,,
jp_emoticon,Github,https://github.com/kuroshiba-Ginji/JapaneseTextEmoticonData,MIT,Sentiment Analysis,38721,text,sentiment,emotion,all_emotions,
jp_fakenews,Github,https://github.com/tanreinama/japanese-fakenews-dataset,CC-by-2.1-JP,Classification,13020,text,label,,,
jp_newspapers,Kaggle,https://www.kaggle.com/datasets/vyhuholl/japanese-newspapers-2005202,cc-0-1.0,Summarization,38,title,text,,,
jp_toxic,Github,https://github.com/inspection-ai/japanese-toxic-dataset/tree/main,apache-2.0,Classification,437,text,label,categories,all_categories,
jp_word_sim,Github,https://github.com/tmu-nlp/JapaneseWordSimilarityDataset,CC-by-sa-3.0,Word Meaning,4409,word1,word2,output,,
jsnli,Others,https://nlp.ist.i.kyoto-u.ac.jp/index.php?%E6%97%A5%E6%9C%AC%E8%AA%9ESNLI%28JSNLI%29%E3%83%87%E3%83%BC%E3%82%BF%E3%82%BB%E3%83%83%E3%83%88,CC-by-sa-4.0,NLI,3916,label,sent1,sent2,,
kanji,Github,https://github.com/davidluzgouveia/kanji-data,MIT,Word Meaning,7939,kanji,meaning,reading_onyomi,reading_kunyomi,
keigo_transfer,Github,https://github.com/cl-tohoku/keigo_transfer_task/tree/main,CC-by-4.0,Generation,346,not_keigo,keigo,,,
kuci,Other,https://nlp.ist.i.kyoto-u.ac.jp/EN/?KUCI,CC-by-SA-4.0,Common Sense,103646,context,choices,labels,,
kyoto_web_ncf,Other,https://nlp.ist.i.kyoto-u.ac.jp/index.php?%e4%ba%ac%e9%83%bd%e5%a4%a7%e5%ad%a6%e5%90%8d%e8%a9%9e%e6%a0%bc%e3%83%95%e3%83%ac%e3%83%bc%e3%83%a0,Public-Domain,Word Meaning,79397,word,related,,,
livedoor_news_corpus,Huggingface,https://huggingface.co/datasets/llm-book/livedoor-news-corpus,CC-by-nd 2.1,Summarization,6723,content,title,category,,
massive,Huggingface,https://huggingface.co/datasets/qanastek/MASSIVE,CC-by-sa-4.0,NER,11126,utt,annott_ut,slot_method,,
mcconala,Huggingface,https://huggingface.co/datasets/neulab/mconala,CC-by-sa-4.0,Code,210,intent,rewritten_intent,snippet,,
mgsm,Huggingface,https://huggingface.co/datasets/juletxara/mgsm,CC-by-sa-4.0,Math,258,question,answer,answer_number,equation_solution,
miracl,Huggingface,https://huggingface.co/datasets/miracl/miracl,apache-2.0,Passage Retrieval,4070,query,passages,correct,num_correct,
mkqa,Huggingface,https://huggingface.co/datasets/mkqa,CC-by-sa-3.0,QA,6757,queries,answers,,,
mr_tydi,Huggingface,https://huggingface.co/datasets/castorini/mr-tydi,apache-2.0,Passage Retrieval,3691,query,passages,correct,num_correct,
ner_wikipedia,Huggingface,https://huggingface.co/datasets/llm-book/ner-wikipedia-dataset,CC-by-sa-3.0,NER,4859,text,entities,all_entities,,
news_commentary,Huggingface,https://huggingface.co/datasets/news_commentary,?,Translation,637,en,ja,,,
odex,Huggingface,https://huggingface.co/datasets/neulab/odex,CC-by-sa-4.0,Code,96,intent,prompt,entry_point,library,
sakura_japanese,Huggingface,https://huggingface.co/datasets/saldra/sakura_japanese_dataset,CC,Math,500,instruction,output,,,
snow_simplified,Huggingface,https://huggingface.co/datasets/snow_simplified_japanese_corpus,CC-by-4.0,Translation,50000,original_ja,simplified_ja,original_en,,
syosetsu,Huggingface,https://huggingface.co/datasets/RyokoAI/Syosetu711K,apache-2.0,Generation,50147,text,title,keywords,biggenre,all_biggenre
tapaco,Huggingface,https://huggingface.co/datasets/tapaco/,cc-by-2.0,Generation,1076,sentence1,sentence2,,,
tempNLI,Github,https://github.com/tomo-ut/temporalNLI_dataset/tree/main,CC-by-sa-4.0,NLI,10298,premise,hypothesis,label,,
tydiqa_copenlu,Huggingface,https://huggingface.co/datasets/copenlu/tydiqa_copenlu,apache-2.0,QA,4243,question_text,document_plaintext,annotations,,
wiki_atomic_edits_deletions,Huggingface,https://huggingface.co/datasets/wiki_atomic_edits,CC-by-sa-4.0,Common Sense,1352162,base_sentence,phrase,edited_sentence,,
wiki_atomic_edits_insertions,Huggingface,https://huggingface.co/datasets/wiki_atomic_edits,CC-by-sa-4.0,Common Sense,2249527,base_sentence,phrase,edited_sentence,,
xor_tydi_qa,Huggingface,https://huggingface.co/datasets/xor_tydi_qa,MIT,QA,3910,question,answers,,,
